"041K", "041K", 47.0, 46.0, -84.0, -86.0, null
"041M", "041M", 48.0, 47.0, -86.0, -88.0, null
"041N", "041N", 48.0, 47.0, -84.0, -86.0, null
"041O", "041O", 48.0, 47.0, -82.0, -84.0, null
"041P", "041P", 48.0, 47.0, -80.0, -82.0, null
"042A", "042A", 49.0, 48.0, -80.0, -82.0, null
"042B", "042B", 49.0, 48.0, -82.0, -84.0, null
"042C", "042C", 49.0, 48.0, -84.0, -86.0, null
"042D", "042D", 49.0, 48.0, -86.0, -88.0, null
"042E", "042E", 50.0, 49.0, -86.0, -88.0, null
"042F", "042F", 50.0, 49.0, -84.0, -86.0, null
"042G", "042G", 50.0, 49.0, -82.0, -84.0, null
"042H", "042H", 50.0, 49.0, -80.0, -82.0, null
"042I", "042I", 51.0, 50.0, -80.0, -82.0, null
"042J", "042J", 51.0, 50.0, -82.0, -84.0, null
"042K", "042K", 51.0, 50.0, -84.0, -86.0, null
"042L", "042L", 51.0, 50.0, -86.0, -88.0, null
"042M", "042M", 52.0, 51.0, -86.0, -88.0, null
"042N", "042N", 52.0, 51.0, -84.0, -86.0, null
"042O", "042O", 52.0, 51.0, -82.0, -84.0, null
"042P", "042P", 52.0, 51.0, -80.0, -82.0, null
"043A", "043A", 53.0, 52.0, -80.0, -82.0, null
"043B", "043B", 53.0, 52.0, -82.0, -84.0, null
"043C", "043C", 53.0, 52.0, -84.0, -86.0, null
"043D", "043D", 53.0, 52.0, -86.0, -88.0, null
"043E", "043E", 54.0, 53.0, -86.0, -88.0, null
"043F", "043F", 54.0, 53.0, -84.0, -86.0, null
"043G", "043G", 54.0, 53.0, -82.0, -84.0, null
"043H", "043H", 54.0, 53.0, -80.0, -82.0, null
"043I", "043I", 55.0, 54.0, -80.0, -82.0, null
"043J", "043J", 55.0, 54.0, -82.0, -84.0, null
"043K", "043K", 55.0, 54.0, -84.0, -86.0, null
"043L", "043L", 55.0, 54.0, -86.0, -88.0, null
"043M", "043M", 56.0, 55.0, -86.0, -88.0, null
"043N", "043N", 56.0, 55.0, -84.0, -86.0, null
"043O", "043O", 56.0, 55.0, -82.0, -84.0, null
"043P", "043P", 56.0, 55.0, -80.0, -82.0, null
"044A", "044A", 57.0, 56.0, -80.0, -82.0, null
"044B", "044B", 57.0, 56.0, -82.0, -84.0, null
"044C", "044C", 57.0, 56.0, -84.0, -86.0, null
"044D", "044D", 57.0, 56.0, -86.0, -88.0, null
"044E", "044E", 58.0, 57.0, -86.0, -88.0, null
